ID_Pedido,Fecha,Producto,Categoría,Cantidad,Total_Venta
PED-001,2026-03-23,Disco Duro Externo 1TB,Almacenamiento,1.0,60.0
PED-002,2026-01-15,Disco Duro Externo 1TB,  Almacenamiento ,3.0,180.0
PED-003,2026-01-04,Webcam HD,Accesorios,3.0,150.0
PED-004,2026-02-05,Disco Duro Externo 1TB,Almacenamiento,5.0,300.0
PED-005,2026-02-01,Webcam HD,Accesorios,2.0,100.0
PED-006,2026-01-29,Auriculares Gamer,Audio,3.0,135.0
PED-007,2026-01-18,Auriculares Gamer,Audio,1.0,45.0
PED-008,2026-01-14,Altavoces Bluetooth,Audio,5.0,175.0
PED-009,2026-03-28,Ratón Inalámbrico,Accesorios,3.0,75.0
PED-010,2026-03-11,Ratón Inalámbrico,Accesorios,1.0,25.0
PED-011,,Altavoces Bluetooth,Audio,4.0,140.0
PED-012,2026-03-17,Silla Ergonómica,Mobiliario,5.0,1000.0
PED-013,2026-02-24,Teclado Mecánico,Accesorios,1.0,85.0
PED-014,,Silla Ergonómica,Mobiliario,1.0,200.0
PED-015,2026-02-31,Teclado Mecánico,Accesorios,1.0,85.0
PED-016,2026-01-12,Altavoces Bluetooth,Audio,1.0,35.0
PED-017,2026-01-28,Auriculares Gamer,Audio,4.0,180.0
PED-018,2026-01-30,"Monitor 24""",Pantallas,5.0,900.0
PED-019,2026-03-06,Auriculares Gamer,,-1.0,225.0
PED-020,2026-03-19,Altavoces Bluetooth,Audio,1.0,35.0
,,Altavoces Bluetooth,Audio,1.0,35.0
PED-022,2026-03-13,Disco Duro Externo 1TB,Almacenamiento,5.0,300.0
PED-023,2026-01-26,Altavoces Bluetooth,AUDIO,5.0,175.0
PED-024,2026-03-25,Memoria USB 64GB,Almacenamiento,3.0,45.0
PED-025,2026-03-31,Auriculares Gamer,Audio,3.0,135.0
PED-026,2026-03-11,Auriculares Gamer,Audio,3.0,135.0
PED-027,29/01/2026,Disco Duro Externo 1TB,Almacenamiento,2.0,120.0
PED-028,2026-01-29,Computadora Portátil,Equipos,4.0,
PED-029,2026-02-27,Memoria USB 64GB,Almacenamiento,1.0,15.0
PED-030,2026-03-17,Ratón Inalámbrico,Accesorios,4.0,100.0
PED-031,2026-02-05,Altavoces Bluetooth,Audio,5.0,175.0
PED-032,2026-01-01,"Monitor 24""",Pantallas,1.0,180.0
PED-033,2026-01-21,Silla Ergonómica,Mobiliario,2.0,400.0
PED-034,2026-03-31,Silla Ergonómica,Mobiliario,3.0,600.0
PED-035,2026-02-24,Teclado Mecánico,Accesorios,3.0,255.0
PED-036,2026-02-13,"Monitor 24""",  Pantallas ,2.0,360.0
PED-073,2026-02-28,Teclado Mecánico,Accesorios,3.0,255.0
PED-038,2026-01-20,Teclado Mecánico,Accesorios,4.0,340.0
PED-039,2026-01-28,Silla Ergonómica,Mobiliario,3.0,600.0
PED-040,2026-02-13,Altavoces Bluetooth,Audio,5.0,175.0
PED-041,2026-01-14,Ratón Inalámbrico,Accesorios,5.0,125.0
,2026-01-12,Computadora Portátil,Equipos,1.0,750.0
PED-043,2026-02-18,Teclado Mecánico,Accesorios,3.0,255.0
PED-044,2026-01-13,"Monitor 24""",Pantallas,1.0,180.0
PED-045,2026-02-15,Silla Ergonómica,Mobiliario,2.0,400.0
PED-046,2026-02-14,Computadora Portátil,Equipos,3.0,2250.0
PED-047,,,Audio,2.0,70.0
PED-048,2026-02-03,Memoria USB 64GB,Almacenamiento,2.0,30.0
PED-049,2026-01-06,Computadora Portátil,Equipos,5.0,3750.0
